"","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","X32","X33"
"645","vanilla","cream","egg","milk","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","olive_oil","lemon_juice","mustard","onion","avocado","nut","cayenne","lettuce","grapefruit","orange","rosemary","seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","tomato","vinegar","onion","cheese","black_bean","cayenne","cumin","scallion","macaroni","vegetable_oil","garlic","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","tomato","vinegar","pork","wheat","onion","raisin","corn","almond","black_pepper","garlic","cinnamon","lard","vegetable_oil","cider","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","tomato","cheese","cilantro","onion","cayenne","chicken_broth","lime_juice","pork","garlic","corn","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","tomato","wheat","onion","thyme","avocado","chicken_broth","cayenne","cumin","garlic","bell_pepper","oregano","vegetable_oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651","cheese","cilantro","wheat","onion","lime_juice","avocado","pepper","bell_pepper","olive","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","pork","garlic","onion","vegetable_oil","cayenne","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","olive_oil","green_bell_pepper","lime_juice","corn","garlic","pimento","olive","scallion","lime_peel_oil","brown_rice","lime","tomato","onion","cayenne","cumin","shrimp","bell_pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","butter","cheese","pepper","wheat","onion","black_pepper","cayenne","milk_fat","garlic","lard","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","vegetable_oil","garlic","rice","mint","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","pork","onion","corn_grit","cayenne","chicken_broth","avocado","garlic","oregano","radish","vegetable_oil","corn","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","butter","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","olive_oil","endive","cayenne","lime_juice","bean","seed","kidney_bean","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","tomato","olive_oil","cilantro","clam","onion","corn_grit","cayenne","shrimp","scallop","garlic","lime_peel_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","tomato","olive_oil","onion","starch","corn","cayenne","garlic","crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","wheat","cayenne","corn","tabasco_pepper","garlic","lime_peel_oil","lime","tomato","vinegar","cilantro","cream","onion","lime_juice","scallion","buttermilk","vegetable_oil","rice","egg","fish","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","vinegar","cilantro","pineapple","shallot","vegetable_oil","cumin","white_wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","vinegar","onion","cayenne","orange_juice","black_pepper","garlic","oregano","cider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","olive_oil","pork","black_pepper","cayenne","cumin","garlic","bell_pepper","oregano","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","butter","tomato","pepper","onion","cheese","cayenne","cilantro","scallion","garlic","oregano","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","tomato","olive_oil","pepper","onion","cheese","black_bean","cayenne","garlic","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","tomato","butter","cilantro","onion","cheese","lime_juice","corn","avocado","cumin","garlic","egg","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","tomato","cheese","garlic","corn","cayenne","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","black_bean","onion","lard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","tomato","garlic","lard","black_bean","egg","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","olive_oil","chicken","soy_sauce","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","tomato","vinegar","olive_oil","radish","corn","lime_juice","white_wine","lettuce","vegetable_oil","coriander","scallion","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","cane_molasses","olive_oil","marjoram","thyme","onion","vinegar","cider","bay","carrot","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","pepper","rice","chicken_broth","chicken","sesame_seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","tomato","green_bell_pepper","onion","black_bean","avocado","corn","cayenne","scallion","lettuce","garlic","chicken","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","tomato","olive_oil","cilantro","meat","onion","cayenne","corn","lime_juice","cumin","carrot","macaroni","chicken","mustard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","butter","cheese","onion","cayenne","corn","avocado","garlic","tomato","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","tomato","olive_oil","lemon_juice","wheat","onion","beef","cayenne","avocado","cumin","garlic","vegetable_oil","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","tomato","cilantro","onion","black_pepper","cayenne","cumin","seed","garlic","oregano","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","olive_oil","wheat","oregano","cheese","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","vinegar","lemon_juice","mustard","olive_oil","orange_juice","cayenne","honey","garlic","tamarind","wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","cilantro","onion","pineapple","apricot","cayenne","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","pepper","onion","black_pepper","chicken_broth","cayenne","cilantro","milk","feta_cheese","chicken","corn","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","turkey","onion","peanut","nut","almond","cayenne","walnut","cocoa","bacon","garlic","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","butter","vegetable_oil","coconut","wheat","starch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","butter","tomato","cilantro","mushroom","onion","feta_cheese","shiitake","avocado","cayenne","garlic","cream","corn","oyster","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","tomato","coriander","lemon","onion","tabasco_pepper","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","basil","lemon_juice","pineapple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689","butter","champagne_wine","wheat","egg","vinegar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","onion","bacon","chicken_broth","almond","black_pepper","parsley","bay","garlic","cinnamon","oregano","vegetable_oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","tomato","olive_oil","cilantro","black_bean","feta_cheese","corn","lime_juice","pepper","cayenne","honey","lettuce","garlic","bell_pepper","radish","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","tomato","olive_oil","onion","corn","cayenne","garlic","bell_pepper","egg","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","turkey","tomato","cilantro","meat","onion","cheese","corn","cayenne","garlic","vegetable_oil","milk","chicken_broth","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","tomato","garlic","orange_juice","cayenne","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","tomato","pork","onion","peanut","chicken_broth","cayenne","cilantro","lettuce","seed","garlic","sesame_seed","radish","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","olive_oil","cilantro","green_bell_pepper","onion","vinegar","cucumber","lettuce","garlic","crab","chive","sherry","white_bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","avocado","lettuce","carrot","scallion","cream","cilantro","ham","onion","chicken_broth","cayenne","cumin","bay","celery","seed","smoke","vegetable_oil","lime","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","olive_oil","onion","corn","cayenne","cumin","bean","garlic","bell_pepper","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","butter","bell_pepper","vegetable","corn","milk","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","tomato","olive_oil","vinegar","fish","parsley","garlic","basil","wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","tomato","pork","green_bell_pepper","macaroni","onion","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","tomato","cilantro","onion","avocado","corn","cayenne","pepper","scallion","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","tomato","olive_oil","pepper","beef","onion","black_bean","corn","cayenne","garlic","basil","macaroni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704","peanut_oil","tomato","pork","onion","chicken_broth","cayenne","celery","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705","olive_oil","cilantro","grape_juice","lime_juice","cayenne","ginger","honey","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706","tomato","cilantro","black_pepper","lime_juice","scallion","celery","garlic","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707","olive_oil","pepper","grape_juice","corn","tabasco_pepper","pork","scallion","lettuce","garlic","bell_pepper","kidney_bean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708","tomato","cilantro","bell_pepper","onion","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","tomato","cheese","wheat","onion","cayenne","scallion","garlic","chicken","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710","tomato","green_bell_pepper","onion","beef","corn","cayenne","bean","garlic","kidney_bean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","cilantro","onion","black_pepper","tequila","cayenne","cumin","beer","garlic","vegetable_oil","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","cayenne","bean","bacon","onion","prickly_pear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713","tomato","cheese","mushroom","beef","cayenne","parmesan_cheese","scallion","garlic","mozzarella_cheese","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714","coriander","tomato","beef","onion","cayenne","cumin","bean","garlic","oregano","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715","tomato","cilantro","onion","black_pepper","cayenne","cumin","celery","lime_juice","garlic","cream_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716","tomato","olive_oil","pork","garlic","onion","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717","tomato","wheat","onion","cayenne","lettuce","garlic","cream","chicken","cheddar_cheese","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718","butter","tomato","pepper","wheat","onion","peach","cheese","black_pepper","cayenne","cumin","scallion","garlic","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719","butter","tomato","macaroni","beef","cheese","corn","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720","tomato","olive_oil","cilantro","onion","black_pepper","cumin","bell_pepper","chicken","zucchini","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","turkey","cheese","wheat","onion","black_pepper","cayenne","cumin","bell_pepper","garlic","tomato","oregano","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","gelatin","cilantro","cayenne","ham","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","tequila","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724","tomato","cheese","onion","cayenne","avocado","bean","garlic","olive","chicken","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725","celery","cheese","green_bell_pepper","cayenne","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","tomato","pepper","onion","cayenne","corn","black_pepper","cumin","garlic","oregano","vegetable_oil","chicken","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727","cilantro","onion","beef","corn","cayenne","thyme","honey","garlic","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728","butter","tomato","beef","onion","potato","black_pepper","cayenne","cumin","scallion","garlic","bell_pepper","oregano","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","tomato","wheat","cream_cheese","onion","cayenne","garlic","crab","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","butter","cereal","onion","cayenne","corn","black_pepper","cumin","parmesan_cheese","garlic","bell_pepper","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","pepper","onion","corn_grit","roasted_pork","chicken_broth","black_pepper","cumin","bay","garlic","oregano","chicken","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","vinegar","grape","pear","cider","walnut","grapefruit","orange","vegetable_oil","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733","tomato","wheat","onion","cayenne","lettuce","bean","garlic","lard","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","butter","cheese","cayenne","roasted_beef","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735","butter","cheese","pepper","onion","potato","cayenne","parsley","garlic","chicken","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","tomato","cane_molasses","mustard","onion","cayenne","garlic","chicken","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","tomato","olive_oil","pepper","onion","cheese","cumin","seed","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738","butter","cheese","lemon_juice","wheat","corn","avocado","tomato","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739","tomato","lettuce","pepper","onion","cayenne","cilantro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","oregano","onion","cayenne","corn","black_pepper","cumin","garlic","bell_pepper","cream_cheese","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741","tomato","olive_oil","cilantro","onion","avocado","cayenne","mango","garlic","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742","vinegar","cilantro","onion","olive_oil","lime_juice","corn","red_wine","avocado","cumin","black_pepper","garlic","bell_pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743","tomato","pepper","wheat","mushroom","onion","cayenne","squash","zucchini","carrot","garlic","vegetable_oil","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","tomato","olive_oil","green_bell_pepper","onion","vinegar","black_bean","black_pepper","corn","cayenne","garlic","bell_pepper","pea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745","butter","cheese","cayenne","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746","tomato","onion","cayenne","avocado","shrimp","garlic","olive","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","butter","beef","onion","cayenne","corn","black_pepper","cumin","garlic","oregano","cheddar_cheese","egg","milk","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","honey","garlic","tequila","lime_juice","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","tomato","cheese","bean","garlic","cream_cheese","onion","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750","tomato","olive_oil","onion","feta_cheese","corn","cayenne","cured_pork","olive","fennel","garlic","bell_pepper","basil","pork_sausage","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","cream","onion","beef","corn","cayenne","vegetable_oil","cheddar_cheese","egg","milk","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","butter","pepper","mango","wheat","cream_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"753","tomato","green_bell_pepper","onion","cayenne","cumin","bean","garlic","bell_pepper","vegetable","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754","tomato","pepper","onion","potato","roasted_pork","cayenne","cumin","bay","garlic","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","cheese","wheat","black_bean","corn","cayenne","cumin","parsley","bell_pepper","vegetable_oil","chicken","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756","tomato","vinegar","cilantro","green_bell_pepper","onion","cayenne","cider","pepper","garlic","olive","macaroni","pea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757","tomato","wheat","onion","cayenne","garlic","olive","vegetable_oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","tomato","onion","potato","vegetable_oil","cayenne","prickly_pear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759","butter","tomato","onion","cheese","cayenne","garlic","macaroni","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","butter","wheat","mushroom","vegetable_oil","garlic","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761","cilantro","green_bell_pepper","onion","black_bean","corn","cayenne","cumin","garlic","kidney_bean","brown_rice","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762","cheese","green_bell_pepper","wheat","onion","bacon","bell_pepper","vegetable_oil","chicken","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763","pepper","onion","black_bean","corn","cilantro","scallion","chickpea","macaroni","bell_pepper","kidney_bean","vegetable_oil","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","tomato","cane_molasses","onion","roasted_pork","cayenne","cumin","black_pepper","garlic","bell_pepper","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","olive_oil","cilantro","seed","garlic","lettuce","avocado","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","butter","cane_molasses","wheat","rum","vegetable_oil","banana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767","cilantro","mango","onion","cayenne","avocado","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
